BUYUNITS,PERIOD,OPENID,TIME,IMGURL,NAME
1,100001,qhn,201705191537,https://70139330.qcloud.la/file?filename=13.jpg,gift
10,100002,ls,201705191538,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100003,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
1,100001,qhn,201705191537,https://70139330.qcloud.la/file?filename=13.jpg,gift
10,100002,ls,201705191538,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100003,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
1,100001,qhn,201705191537,https://70139330.qcloud.la/file?filename=13.jpg,gift
10,100002,ls,201705191538,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100003,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
1,100001,qhn,201705191537,https://70139330.qcloud.la/file?filename=13.jpg,gift
10,100002,ls,201705191538,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100003,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
1,100001,qhn,201705191537,https://70139330.qcloud.la/file?filename=13.jpg,gift
10,100002,ls,201705191538,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100003,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
1,100001,qhn,201705191537,https://70139330.qcloud.la/file?filename=13.jpg,gift
10,100002,ls,201705191538,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100003,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
1,100001,qhn,201705191537,https://70139330.qcloud.la/file?filename=13.jpg,gift
10,100002,ls,201705191538,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
5,100004,qsy,201705191539,https://70139330.qcloud.la/file?filename=13.jpg,gift
